latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-0.43085,-91.48277,328.95,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,291.55,44.39,N
-0.4238,-91.52608,303.57,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.27,2.91,N
-0.42462,-91.52103,310.65,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.81,1.96,N
-0.42783,-91.50132,311.56,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,292.73,4.77,N
-0.42859,-91.49667,317.1,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.73,4.77,N
-0.41853,-91.47939,307.89,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.24,5.42,N
-0.43159,-91.47822,304.76,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.36,44.39,N
-0.43547,-91.49391,327.93,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,291.5,248.51,N
-0.43623,-91.48925,342.07,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,307.47,248.51,N
-0.42322,-91.49007,346.34,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,303.97,294.1,N
-0.43699,-91.48458,325.89,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,291.22,44.39,N
-0.41488,-91.50172,317.77,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,291.43,4.93,N
-0.41412,-91.50639,311.88,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,293.08,4.93,N
-0.41259,-91.51572,304.42,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.43,3.1,N
-0.4119,-91.51994,308.65,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,291.25,2.9,N
-0.41781,-91.48379,324.19,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.84,294.1,N
-0.41637,-91.49264,341.98,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,316.53,138.49,N
-0.41563,-91.49713,353.49,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,293.88,138.49,N
-0.41124,-91.52402,321.68,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,289.56,2.9,N
-0.41059,-91.52798,322.74,0.57,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,287.21,7.45,N
-0.41234,-91.47789,305.4,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.03,3.04,N
-0.41164,-91.48215,312.46,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.1,19.77,N
-0.4074,-91.50812,316.26,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,293.63,28.07,N
-0.405,-91.52278,306.24,0.57,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,291.33,3.59,N
-0.40436,-91.52671,305.44,0.57,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,289.89,3.59,N
-0.41094,-91.48644,345.79,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,291.08,19.77,N
-0.40878,-91.49964,367.0,0.56,0.69,2024-03-07,644,N21,VIIRS,h,2.0NRT,312.72,361.22,N
-0.40807,-91.50401,335.99,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,294.35,361.22,N
-0.40545,-91.48067,304.97,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,289.61,19.77,N
-0.40477,-91.48483,308.46,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,289.78,19.77,N
-0.40408,-91.48905,314.79,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,289.99,607.92,N
-0.40024,-91.51244,312.89,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,292.84,7.72,N
-0.40337,-91.49336,349.18,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,293.23,607.92,N
-0.40199,-91.50179,343.32,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,301.7,361.22,N
-0.40136,-91.50564,367.0,0.56,0.69,2024-03-07,644,N21,VIIRS,h,2.0NRT,297.17,28.07,N
-0.4008,-91.50906,323.57,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,294.9,28.07,N
-0.39859,-91.48329,304.91,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,289.63,2.15,N
-0.39653,-91.49581,310.14,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.62,17.79,N
-0.3929,-91.51791,309.86,0.57,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,293.6,7.45,N
-0.39198,-91.52345,306.01,0.57,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,292.45,7.45,N
-0.39589,-91.49968,320.79,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,291.58,17.79,N
-0.39529,-91.50333,324.37,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,298.84,104.46,N
-0.39474,-91.50671,355.27,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,297.81,104.46,N
-0.39421,-91.50993,348.41,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,297.35,31.41,N
-0.39362,-91.51353,352.7,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,295.42,31.41,N
-0.3917,-91.48604,306.3,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,289.49,1.66,N
-0.39101,-91.49018,312.27,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,289.32,1.66,N
-0.43404,-91.47899,305.52,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.22,53.82,N
-0.42249,-91.49458,367.0,0.56,0.69,2024-03-07,644,N21,VIIRS,h,2.0NRT,292.71,138.49,N
-0.43115,-91.49763,315.66,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.92,8.3,N
-0.43041,-91.50233,307.1,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,291.75,8.3,N
-0.42812,-91.51709,305.37,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.6,2.79,N
-0.42733,-91.52221,314.89,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,289.21,2.79,N
-0.43332,-91.48361,333.65,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,291.48,53.82,N
-0.43188,-91.49294,348.42,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,292.07,428.26,N
-0.42717,-91.4818,312.39,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.46,53.82,N
-0.42431,-91.50022,314.17,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,292.34,8.3,N
-0.42357,-91.50493,309.4,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,292.87,7.14,N
-0.42124,-91.51987,305.07,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,291.99,2.79,N
-0.42047,-91.52487,307.71,0.57,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.59,4.18,N
-0.41971,-91.52972,310.07,0.57,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,288.4,4.18,N
-0.42575,-91.49097,367.0,0.56,0.69,2024-03-07,644,N21,VIIRS,h,2.0NRT,297.1,428.26,N
-0.42503,-91.49555,320.75,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.86,8.3,N
-0.43072,-91.52318,308.07,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,288.77,1.96,N
-0.43154,-91.51814,308.07,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.54,1.96,N
-0.43471,-91.49861,308.24,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,291.0,4.77,N
-0.43774,-91.47991,305.08,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.73,44.39,N
-0.44238,-91.49099,318.42,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,294.36,3.75,N
-0.44389,-91.48165,305.52,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,289.98,3.54,N
-0.44854,-91.49273,306.09,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,292.41,3.75,N
-0.4493,-91.48804,308.23,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.83,3.54,N
-0.42101,-91.48009,308.28,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.3,3.7,N
-0.41747,-91.50273,315.62,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,292.32,29.33,N
-0.41673,-91.50748,305.36,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,291.78,29.33,N
-0.41598,-91.5123,302.05,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,290.86,3.15,N
-0.41523,-91.51708,305.58,0.56,0.69,2024-03-07,644,N21,VIIRS,n,2.0NRT,291.2,3.15,N
