date_only,satellite,distance_km,frp,latitude,longitude,source,date,max_distance,prev_max,time_diff,distance_diff,speed
2024-03-03,NOAA20,4.492472523387179,453.96,-0.36821,-91.51338,2,2024-03-03,4.492472523387179,0.0,,4492.4725233871795,0.0
2024-03-03,SNPP,6.660819312917534,545.9,-0.44185,-91.49049,1,2024-03-03,6.660819312917534,4.492472523387179,0.0,2168.3467895303547,0.0
2024-03-04,NOAA20,7.915026950976887,539.06,-0.40527,-91.51182,2,2024-03-04,7.915026950976887,6.660819312917534,24.0,1254.207638059353,52.258651585806376
2024-03-16,NOAA21,9.24344233056286,402.15,-0.45229,-91.48826,3,2024-03-16,9.24344233056286,7.915026950976887,288.0,1328.4153795859738,4.612553401340187
2024-03-17,SNPP,9.545863324527245,313.04,-0.44099,-91.48188,1,2024-03-17,9.545863324527245,9.24344233056286,24.0,302.42099396438425,12.600874748516011
2024-03-18,SNPP,9.802013259359112,308.44,-0.45805,-91.48675,1,2024-03-18,9.802013259359112,9.545863324527245,24.0,256.14993483186765,10.67291395132782
2024-03-28,SNPP,9.827832022488442,199.99,-0.4641,-91.47198,1,2024-03-28,9.827832022488442,9.802013259359112,240.0,25.818763129329625,0.10757817970554011
2024-03-28,NOAA20,9.966884441907638,112.42,-0.45913,-91.48199,2,2024-03-28,9.966884441907638,9.827832022488442,0.0,139.05241941919576,0.0
2024-03-29,NOAA21,10.26598742050695,35.4,-0.46516,-91.47427,3,2024-03-29,10.26598742050695,9.966884441907638,24.0,299.1029785993113,12.462624108304638
2024-03-30,NOAA21,10.731343866108498,56.4,-0.47196,-91.48227,3,2024-03-30,10.731343866108498,10.26598742050695,24.0,465.35644560154844,19.389851900064517
2024-03-31,NOAA20,10.836637229495311,60.05,-0.45624,-91.48197,2,2024-03-31,10.836637229495311,10.731343866108498,24.0,105.29336338681361,4.387223474450567
2024-03-31,NOAA21,10.8709392919289,69.73,-0.46466,-91.47657,3,2024-03-31,10.8709392919289,10.836637229495311,0.0,34.30206243358924,0.0
2024-04-01,NOAA20,11.042642212033062,178.85,-0.45779,-91.48569,2,2024-04-01,11.042642212033062,10.8709392919289,24.0,171.70292010416154,7.154288337673397
2024-04-01,NOAA21,11.106666321888332,69.79,-0.46771,-91.47609,3,2024-04-01,11.106666321888332,11.042642212033062,0.0,64.02410985526963,0.0
2024-04-01,SNPP,11.286700320749912,107.03,-0.47002,-91.47089,1,2024-04-01,11.286700320749912,11.106666321888332,0.0,180.03399886158002,0.0
2024-04-02,NOAA20,11.842005278525283,55.06,-0.46381,-91.47664,2,2024-04-02,11.842005278525283,11.286700320749912,24.0,555.3049577753715,23.137706573973812
2024-04-02,NOAA21,11.895366124061672,204.66,-0.45495,-91.48744,3,2024-04-02,11.895366124061672,11.842005278525283,0.0,53.36084553638898,0.0
2024-04-03,NOAA21,12.541344085962312,115.45,-0.47666,-91.47565,3,2024-04-03,12.541344085962312,11.895366124061672,24.0,645.9779619006393,26.91574841252664
2024-04-04,NOAA20,12.81842645289644,147.39,-0.47124,-91.47682,2,2024-04-04,12.81842645289644,12.541344085962312,24.0,277.08236693412755,11.545098622255315
2024-04-05,NOAA20,12.818648367044254,101.55,-0.4752,-91.47711,2,2024-04-05,12.818648367044254,12.81842645289644,24.0,0.22191414781502772,0.009246422825626155
2024-04-05,NOAA21,12.9374764558908,90.91,-0.46193,-91.48437,3,2024-04-05,12.9374764558908,12.818648367044254,0.0,118.82808884654672,0.0
2024-04-06,NOAA21,13.224797174389948,83.51,-0.4534,-91.48795,3,2024-04-06,13.224797174389948,12.9374764558908,24.0,287.3207184991475,11.971696604131147
2024-04-08,NOAA20,13.263761860734409,72.87,-0.4976,-91.47131,2,2024-04-08,13.263761860734409,13.224797174389948,48.0,38.964686344460375,0.8117642988429244
2024-04-14,NOAA20,13.358184453636955,45.58,-0.47881,-91.47813,2,2024-04-14,13.358184453636955,13.263761860734409,144.0,94.4225929025464,0.6557124507121278
2024-04-15,SNPP,13.371696838526407,108.61,-0.47114,-91.47088,1,2024-04-15,13.371696838526407,13.358184453636955,24.0,13.512384889452278,0.5630160370605116
2024-04-23,NOAA20,13.498602559448043,52.65,-0.48708,-91.47682,2,2024-04-23,13.498602559448043,13.371696838526407,192.0,126.90572092163599,0.6609672964668541
2024-05-03,NOAA20,13.578898866530984,27.92,-0.50207,-91.46974,2,2024-05-03,13.578898866530984,13.498602559448043,240.0,80.296307082941,0.3345679461789208
2024-05-06,NOAA20,13.597936584142502,55.01,-0.49744,-91.47028,2,2024-05-06,13.597936584142502,13.578898866530984,72.0,19.037717611517735,0.264412744604413
