date_only,satellite,distance_km,frp,latitude,longitude,source,date,max_distance,prev_max,time_diff,distance_diff,speed
2022-01-07,NOAA20,8.431966128840488,616.82,-0.07638,-91.26711,2,2022-01-07,8.431966128840488,0.0,,8431.966128840488,0.0
2022-01-08,NOAA20,10.163107777998428,616.58,-0.06041,-91.28926,2,2022-01-08,10.163107777998428,8.431966128840488,24.0,1731.1416491579407,72.13090204824753
2022-01-08,SNPP,11.239076585995958,2331.99,-0.09746,-91.26823,1,2022-01-08,11.239076585995958,10.163107777998428,0.0,1075.96880799753,0.0
2022-01-09,NOAA20,12.662955865811576,447.04,-0.03612,-91.31522,2,2022-01-09,12.662955865811576,11.239076585995958,24.0,1423.8792798156173,59.32830332565072
2022-01-09,SNPP,13.378923331148451,539.54,-0.08728,-91.26385,1,2022-01-09,13.378923331148451,12.662955865811576,0.0,715.9674653368758,0.0
2022-01-10,NOAA20,14.088252186252614,1747.9,-0.06017,-91.30007,2,2022-01-10,14.088252186252614,13.378923331148451,24.0,709.3288551041628,29.55536896267345
2022-01-17,NOAA20,14.117117184936305,331.73,-0.09985,-91.22631,2,2022-01-17,14.117117184936305,14.088252186252614,168.0,28.864998683690857,0.17181546835530273
2022-01-17,SNPP,14.232147081930934,1514.89,-0.08717,-91.26559,1,2022-01-17,14.232147081930934,14.117117184936305,0.0,115.02989699462951,0.0
2022-02-12,NOAA20,14.877792472895006,61.45,-0.11998,-91.22411,2,2022-02-12,14.877792472895006,14.232147081930934,624.0,645.6453909640718,1.0346881265449868
2022-03-06,SNPP,15.076647158723416,74.6,-0.10518,-91.22288,1,2022-03-06,15.076647158723416,14.877792472895006,528.0,198.8546858284099,0.3766187231598673
2022-03-09,SNPP,15.677343370724442,187.72,-0.10974,-91.22241,1,2022-03-09,15.677343370724442,15.076647158723416,72.0,600.6962120010257,8.343002944458691
2022-03-16,NOAA20,15.88257088668444,295.58,-0.10144,-91.22597,2,2022-03-16,15.88257088668444,15.677343370724442,168.0,205.22751595999898,1.2215923569047558
2022-03-17,SNPP,16.111439661126614,87.75,-0.11392,-91.20751,1,2022-03-17,16.111439661126614,15.88257088668444,24.0,228.8687744421729,9.536198935090537
2022-03-27,NOAA20,16.355946977171637,185.69,-0.10973,-91.2068,2,2022-03-27,16.355946977171637,16.111439661126614,240.0,244.50731604502352,1.0187804835209313
2022-03-28,NOAA20,16.75567635843245,389.83,-0.11271,-91.21075,2,2022-03-28,16.75567635843245,16.355946977171637,24.0,399.72938126081203,16.655390885867167
2022-04-03,SNPP,16.85991616292931,105.28,-0.10869,-91.21178,1,2022-04-03,16.85991616292931,16.75567635843245,144.0,104.23980449685999,0.7238875312281944
2022-04-05,NOAA20,17.173744100865658,32.69,-0.11435,-91.20448,2,2022-04-05,17.173744100865658,16.85991616292931,48.0,313.8279379363489,6.538082040340602
2022-04-10,NOAA20,17.879950240562213,76.79,-0.11771,-91.20005,2,2022-04-10,17.879950240562213,17.173744100865658,120.0,706.2061396965546,5.885051164137955
